trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.17629,  43.00000,   5.13811,  10.88894,   0.61555,  18.74135,  10.35092,   5.13973,  18.78376,  10.29610,   7.29221,   0.00000,   0.00000,   0.00000,   1.00000,   0.17629,  43.00000,   4.09330, -10.76110,   0.62107,  18.90072,   9.37681,   4.84692,  19.35967,   9.54170,   7.13172,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.18041,  44.00000,   5.13812,  10.88898,   0.61593,  18.74134,  10.35096,   5.14010,  18.78375,  10.29615,   7.29183,   0.00000,   0.00000,   0.00000,   1.00000,   0.18041,  44.00000,   4.09330, -10.76121,   0.62122,  18.90071,   9.37693,   4.84707,  19.35967,   9.54182,   7.13157,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.18456,  45.00000,   5.13822,  10.88901,   0.61600,  18.74124,  10.35099,   5.14018,  18.78365,  10.29618,   7.29176,   0.00000,   0.00000,   0.00000,   1.00000,   0.18456,  45.00000,   4.09326, -10.76130,   0.62124,  18.90075,   9.37701,   4.84709,  19.35971,   9.54190,   7.13155,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.18879,  46.00000,   5.13826,  10.88908,   0.61613,  18.74120,  10.35106,   5.14031,  18.78361,  10.29624,   7.29163,   0.00000,   0.00000,   0.00000,   1.00000,   0.18879,  46.00000,   4.09337, -10.76132,   0.62123,  18.90064,   9.37703,   4.84708,  19.35959,   9.54192,   7.13156,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.19292,  47.00000,   5.13822,  10.88912,   0.61625,  18.74123,  10.35110,   5.14042,  18.78365,  10.29629,   7.29151,   0.00000,   0.00000,   0.00000,   1.00000,   0.19292,  47.00000,   4.09328, -10.76134,   0.62154,  18.90073,   9.37706,   4.84739,  19.35968,   9.54195,   7.13125,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.19701,  48.00000,   5.13816,  10.88927,   0.61625,  18.74130,  10.35125,   5.14042,  18.78371,  10.29643,   7.29151,   0.00000,   0.00000,   0.00000,   1.00000,   0.19701,  48.00000,   4.09330, -10.76136,   0.62152,  18.90071,   9.37708,   4.84737,  19.35966,   9.54196,   7.13127,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.20126,  49.00000,   5.13817,  10.88937,   0.61663,  18.74129,  10.35135,   5.14080,  18.78370,  10.29653,   7.29113,   0.00000,   0.00000,   0.00000,   1.00000,   0.20126,  49.00000,   4.09328, -10.76132,   0.62162,  18.90074,   9.37703,   4.84747,  19.35969,   9.54192,   7.13117,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.20540,  50.00000,   5.13808,  10.88945,   0.61686,  18.74138,  10.35143,   5.14104,  18.78379,  10.29661,   7.29090,   0.00000,   0.00000,   0.00000,   1.00000,   0.20540,  50.00000,   4.09321, -10.76125,   0.62182,  18.90081,   9.37696,   4.84767,  19.35976,   9.54185,   7.13097,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.20955,  51.00000,   5.13828,  10.88944,   0.61682,  18.74118,  10.35142,   5.14099,  18.78359,  10.29661,   7.29094,   0.00000,   0.00000,   0.00000,   1.00000,   0.20955,  51.00000,   4.09325, -10.76110,   0.62199,  18.90076,   9.37682,   4.84784,  19.35971,   9.54171,   7.13080,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.21377,  52.00000,   5.13827,  10.88952,   0.61687,  18.74118,  10.35150,   5.14104,  18.78360,  10.29668,   7.29089,   0.00000,   0.00000,   0.00000,   1.00000,   0.21377,  52.00000,   4.09337, -10.76088,   0.62223,  18.90064,   9.37659,   4.84808,  19.35960,   9.54148,   7.13056,   0.00000,   0.00000,   0.00000, 
