vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.53731 ,  1.00000 ,  0.52697 , 10.51258 ,-27.32934 ,-60.55736 , 24.51956 , 29.98909 ,-60.24344 , -2.79385 , 29.40168 ,  0.00000 ,  0.00000 , 93.05293 ,-19.63533 , 92.92136 , 54.84783 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.54144 ,  1.00000 ,  0.52652 , 10.51315 ,-27.33058 ,-60.55781 , 24.52014 , 29.99032 ,-60.24388 , -2.79327 , 29.40291 ,  0.00000 ,  0.00000 , 92.96829 ,-19.62444 , 92.98173 , 54.85196 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.54556 ,  1.00000 ,  0.52676 , 10.51358 ,-27.33188 ,-60.55758 , 24.52056 , 29.99162 ,-60.24365 , -2.79285 , 29.40421 ,  0.00000 ,  0.00000 , 92.88142 ,-19.61126 , 93.04537 , 54.85608 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.54982 ,  1.00000 ,  0.52696 , 10.51430 ,-27.33309 ,-60.55737 , 24.52128 , 29.99283 ,-60.24345 , -2.79212 , 29.40542 ,  0.00000 ,  0.00000 , 92.79170 ,-19.59923 , 93.11071 , 54.86034 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.55393 ,  1.00000 ,  0.52626 , 10.51380 ,-27.33455 ,-60.55807 , 24.52079 , 29.99429 ,-60.24415 , -2.79262 , 29.40689 ,  0.00000 ,  0.00000 , 92.68933 ,-19.58507 , 93.18536 , 54.86445 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.55805 ,  1.00000 ,  0.52484 , 10.51375 ,-27.33570 ,-60.55949 , 24.52073 , 29.99544 ,-60.24557 , -2.79267 , 29.40803 ,  0.00000 ,  0.00000 , 92.58326 ,-19.57132 , 93.25823 , 54.86857 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.56229 ,  1.00000 ,  0.52379 , 10.51362 ,-27.33653 ,-60.56054 , 24.52060 , 29.99628 ,-60.24662 , -2.79281 , 29.40887 ,  0.00000 ,  0.00000 , 92.48360 ,-19.55642 , 93.32158 , 54.87281 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.56644 ,  1.00000 ,  0.52256 , 10.51362 ,-27.33706 ,-60.56178 , 24.52060 , 29.99680 ,-60.24785 , -2.79280 , 29.40940 ,  0.00000 ,  0.00000 , 92.39598 ,-19.54576 , 93.37049 , 54.87696 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.57057 ,  1.00000 ,  0.52201 , 10.51304 ,-27.33716 ,-60.56232 , 24.52002 , 29.99691 ,-60.24840 , -2.79338 , 29.40950 ,  0.00000 ,  0.00000 , 92.32417 ,-19.53849 , 93.40142 , 54.88109 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.57482 ,  1.00000 ,  0.52102 , 10.51295 ,-27.33690 ,-60.56331 , 24.51993 , 29.99665 ,-60.24939 , -2.79348 , 29.40924 ,  0.00000 ,  0.00000 , 92.26331 ,-19.53475 , 93.42544 , 54.88534 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.57895 ,  1.00000 ,  0.51960 , 10.51307 ,-27.33666 ,-60.56473 , 24.52005 , 29.99640 ,-60.25080 , -2.79336 , 29.40900 ,  0.00000 ,  0.00000 , 92.20604 ,-19.52846 , 93.44711 , 54.88947 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.58306 ,  1.00000 ,  0.51835 , 10.51218 ,-27.33651 ,-60.56598 , 24.51916 , 29.99625 ,-60.25206 , -2.79425 , 29.40884 ,  0.00000 ,  0.00000 , 92.15199 ,-19.52726 , 93.46246 , 54.89358 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.58729 ,  1.00000 ,  0.51826 , 10.51127 ,-27.33664 ,-60.56608 , 24.51825 , 29.99638 ,-60.25215 , -2.79515 , 29.40897 ,  0.00000 ,  0.00000 , 92.10995 ,-19.52480 , 93.47294 , 54.89781 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.59144 ,  1.00000 ,  0.51846 , 10.51124 ,-27.33650 ,-60.56588 , 24.51822 , 29.99624 ,-60.25195 , -2.79519 , 29.40883 ,  0.00000 ,  0.00000 , 92.08282 ,-19.52274 , 93.47792 , 54.90196 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.59556 ,  1.00000 ,  0.51857 , 10.51076 ,-27.33659 ,-60.56576 , 24.51774 , 29.99633 ,-60.25184 , -2.79567 , 29.40892 ,  0.00000 ,  0.00000 , 92.06760 ,-19.52466 , 93.48384 , 54.90608 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.59981 ,  1.00000 ,  0.51661 , 10.51051 ,-27.33712 ,-60.56772 , 24.51749 , 29.99686 ,-60.25380 , -2.79592 , 29.40945 ,  0.00000 ,  0.00000 , 92.05846 ,-19.53231 , 93.49400 , 54.91033 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.60395 ,  1.00000 ,  0.51768 , 10.50995 ,-27.33772 ,-60.56665 , 24.51693 , 29.99746 ,-60.25273 , -2.79647 , 29.41005 ,  0.00000 ,  0.00000 , 92.04859 ,-19.53047 , 93.49704 , 54.91447 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.60806 ,  1.00000 ,  0.51856 , 10.50920 ,-27.33877 ,-60.56577 , 24.51618 , 29.99852 ,-60.25185 , -2.79723 , 29.41111 ,  0.00000 ,  0.00000 , 92.03155 ,-19.52839 , 93.49887 , 54.91858 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.61230 ,  1.00000 ,  0.51828 , 10.50842 ,-27.33986 ,-60.56605 , 24.51540 , 29.99960 ,-60.25213 , -2.79801 , 29.41219 ,  0.00000 ,  0.00000 , 92.01501 ,-19.53322 , 93.49763 , 54.92282 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
